,Id,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
25,26,1797876,76,20,1,0,0,33,91,22,11,14,0
31,32,6944134,59,5,1,1,0,27,106,11,5,11,0
50,51,4260004,27,5,1,0,0,38,254,13,5,13,0
57,58,6555332,56,20,1,1,0,32,206,28,4,10,0
64,65,6178223,46,19,1,1,1,2,146,25,11,13,0
79,80,6227811,60,14,1,1,0,20,274,7,12,12,0
81,82,6115704,57,17,1,1,0,20,81,10,12,14,1
173,174,2942291,50,11,1,1,0,23,307,25,4,11,0
175,176,6694786,69,17,1,0,0,46,191,23,11,11,1
176,177,470555,50,10,1,1,0,42,168,28,3,14,0
194,195,8645202,65,9,1,1,0,48,184,10,9,13,0
214,215,4334503,22,6,1,1,0,18,249,13,6,14,0
223,224,2433481,48,0,1,0,1,6,88,4,0,14,0
261,262,6220011,57,19,1,1,0,21,231,10,14,14,0
265,266,7583437,74,13,1,1,1,50,92,25,9,13,0
276,277,9043312,71,10,1,1,0,37,230,19,3,14,0
284,285,2183371,23,20,1,1,0,38,138,25,3,13,0
301,302,5697835,55,14,1,1,0,18,180,28,6,14,0
304,305,5419964,40,4,1,1,1,14,293,22,4,13,0
312,313,6787542,22,0,1,0,0,28,231,10,0,12,1
324,325,1680177,33,18,1,1,0,29,277,7,6,11,1
328,329,6518572,76,17,1,1,1,49,256,2,14,12,0
336,337,4356905,62,2,1,0,1,41,188,25,2,13,0
338,339,3419204,79,18,1,1,0,26,166,12,3,12,0
344,345,2132506,79,11,1,1,0,23,224,28,11,13,0
372,373,780090,55,9,1,0,0,46,104,25,9,14,1
373,374,3128681,59,4,1,1,0,19,174,19,4,12,0
376,377,5817501,61,2,1,0,0,28,99,21,2,10,0
382,383,2703840,48,17,1,0,0,14,78,27,5,14,0
405,406,4273001,62,14,1,0,1,39,76,2,14,14,1
408,409,5808564,65,16,0,0,0,22,6,20,14,10,0
416,417,1850597,55,12,1,0,0,15,208,0,12,10,0
451,452,7894460,25,5,1,1,0,42,175,0,5,10,0
464,465,7591621,41,6,1,1,0,4,136,25,3,14,1
482,483,4149976,35,15,0,1,0,19,174,19,10,12,0
487,488,3638802,76,5,0,0,1,11,5,16,5,10,0
492,493,2717090,71,2,1,0,1,45,166,12,2,10,0
506,507,3330944,52,7,1,0,0,6,291,22,7,10,0
515,516,414060,64,16,1,0,0,23,142,0,14,11,1
529,530,7533473,70,12,1,0,1,43,15,22,4,14,0
535,536,1171901,57,10,1,0,1,23,66,2,9,12,0
546,547,16045,56,5,1,0,0,48,290,14,5,10,0
580,581,7993188,66,6,1,0,0,11,241,4,6,10,0
586,587,4510519,73,3,1,1,1,32,178,22,3,10,1
600,601,8600643,48,17,1,1,0,46,76,2,6,13,0
602,603,4449069,36,17,1,1,1,32,261,2,7,11,0
614,615,150879,77,0,1,0,1,30,247,25,0,12,0
618,619,6471065,68,10,1,1,1,28,91,22,5,14,0
629,630,8097242,43,1,1,1,1,22,23,28,1,10,0
634,635,6129612,42,13,1,1,0,34,12,0,6,12,0
639,640,9768431,72,4,1,1,1,21,115,25,4,14,0
649,650,2376301,49,17,1,1,0,26,189,6,4,13,0
657,658,7145203,44,6,1,1,1,29,145,28,3,14,0
666,667,3283513,25,17,0,1,0,2,269,13,4,13,0
730,731,3069692,47,19,1,0,0,43,282,5,5,11,0
731,732,1405890,34,2,1,1,0,27,157,25,2,12,0
752,753,7910818,25,14,1,1,0,27,187,10,10,10,0
761,762,5532605,23,19,1,1,0,44,31,28,6,14,0
767,768,7109627,74,20,1,0,1,39,199,25,14,14,0
791,792,8136993,21,16,1,1,0,4,246,10,3,11,0
824,825,9809512,61,5,1,1,1,29,4,14,5,11,0
826,827,3239090,68,17,1,1,0,12,16,14,13,11,0
832,833,224204,51,9,1,0,0,13,185,25,8,10,0
