,Id,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
2,3,3991815,66,4,0,2,0,47,8,12,4,10,0
6,7,3954973,58,14,0,2,0,31,299,22,8,12,0
15,16,5694236,39,2,0,2,1,20,21,0,2,10,0
16,17,7315840,71,8,0,2,0,0,145,28,8,14,0
24,25,1065465,23,15,0,2,0,28,191,23,4,12,0
26,27,6063428,38,6,0,2,0,16,15,22,6,13,0
36,37,9625415,77,15,0,2,0,42,16,14,9,10,0
39,40,8739032,55,3,0,2,0,39,25,2,3,14,0
63,64,1729774,28,6,0,2,1,47,202,6,5,10,0
68,69,8788135,77,7,0,2,0,36,218,0,7,11,0
76,77,2966907,30,6,0,2,1,32,299,22,5,12,0
85,86,5898669,32,9,0,2,0,24,9,25,6,13,0
86,87,4329713,42,9,0,2,0,22,278,28,6,14,0
90,91,826681,78,4,0,2,1,1,218,0,4,14,0
104,105,535157,50,2,0,2,0,21,160,12,2,10,0
107,108,1240330,29,18,0,2,1,15,103,28,12,14,0
113,114,1319541,72,10,0,2,0,39,42,2,10,14,0
117,118,4759451,60,4,0,2,0,35,188,25,4,13,0
119,120,245844,67,4,0,2,0,20,45,28,3,11,0
124,125,444242,77,11,0,2,0,16,86,1,8,12,0
127,128,8753042,74,12,0,2,0,14,51,14,9,12,0
133,134,9397962,58,3,0,2,0,40,255,25,3,14,0
138,139,2966871,78,7,0,2,0,32,229,2,3,11,0
157,158,1800877,21,10,0,2,1,43,210,0,5,13,0
167,168,4195266,40,20,0,2,0,50,6,20,14,14,0
181,182,9364159,77,6,0,2,0,43,46,6,4,11,0
196,197,7977722,69,19,0,2,0,25,194,6,14,12,0
215,216,1328487,67,12,0,2,0,25,284,6,7,10,0
227,228,8602683,46,1,0,2,0,50,30,11,1,10,0
244,245,9507533,32,4,0,2,0,30,263,13,4,11,0
252,253,2370396,69,4,0,2,0,12,269,13,4,10,0
258,259,5046084,62,7,0,2,1,48,269,13,6,14,0
262,263,461499,68,2,0,2,0,35,10,26,2,11,0
273,274,2062343,40,15,0,2,1,5,28,25,14,11,0
274,275,6152756,49,3,0,2,0,40,283,6,3,14,0
280,281,2451457,31,9,0,2,0,39,64,25,9,12,0
290,291,6272411,69,2,0,2,0,5,45,28,2,10,0
