,Id,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
3,4,6256451,41,2,1,2,1,43,54,17,2,12,1
4,5,5768871,47,11,1,2,0,11,296,22,3,14,1
14,15,9420838,48,6,1,2,0,47,178,22,6,10,1
17,18,3666346,56,12,1,2,0,39,55,14,12,11,1
28,29,8832725,64,5,1,2,0,6,233,18,5,11,1
42,43,9760667,63,17,1,2,0,7,155,13,13,12,1
44,45,9639445,45,9,1,2,0,48,38,11,9,10,1
45,46,6868118,25,16,1,2,0,42,75,2,13,13,1
55,56,1885923,46,16,1,2,0,32,291,22,8,14,1
56,57,5554586,39,18,1,2,0,43,118,0,13,13,1
58,59,9861298,59,16,1,2,0,47,217,28,9,11,1
61,62,8773158,58,18,1,2,1,24,265,28,5,13,1
74,75,2116007,24,5,1,2,1,1,285,23,5,13,1
80,81,7839236,68,7,1,2,0,6,16,14,7,14,1
81,82,6115704,57,17,1,1,0,20,81,10,12,14,1
82,83,7433875,32,12,1,2,1,22,70,22,11,10,1
91,92,137594,52,10,1,2,1,47,254,13,7,10,1
93,94,8005608,65,8,1,2,0,11,277,7,8,12,1
99,100,6275695,66,10,1,2,0,2,14,14,10,11,1
106,107,5165629,61,0,1,2,0,5,217,28,0,12,1
115,116,5522159,22,6,1,2,0,13,20,0,6,12,1
116,117,4428363,46,11,1,2,0,43,203,1,11,10,1
118,119,7154493,28,4,1,2,0,21,87,22,4,13,1
120,121,8769550,23,13,1,2,0,13,101,25,9,10,1
128,129,46750,33,13,1,2,1,8,194,6,10,11,1
130,131,7187813,47,2,1,2,0,25,227,14,2,13,1
131,132,5644262,60,7,1,2,0,21,144,14,3,11,1
142,143,4392927,41,2,1,2,0,9,192,25,2,13,1
152,153,3775604,46,11,1,2,0,45,234,0,5,11,1
153,154,8195887,79,16,1,2,0,8,124,14,14,13,1
159,160,1134496,77,3,1,2,0,45,137,2,3,10,1
164,165,1856689,46,5,1,2,1,0,16,14,5,12,1
168,169,8451099,70,4,1,2,1,17,159,2,4,13,1
169,170,624985,47,11,1,2,0,43,309,25,6,11,1
172,173,233888,64,1,1,2,0,40,301,11,1,10,1
175,176,6694786,69,17,1,0,0,46,191,23,11,11,1
179,180,9352887,53,6,1,2,1,47,199,25,6,11,1
186,187,9603186,43,5,1,2,0,34,198,2,5,13,1
187,188,3489049,66,11,1,2,0,43,297,22,11,12,1
188,189,5653642,42,3,1,2,0,10,197,14,3,11,1
190,191,6862187,22,7,1,2,0,41,281,9,7,12,1
191,192,979926,61,14,1,2,1,38,126,13,7,11,1
204,205,4736350,38,13,1,2,0,34,13,7,6,13,1
212,213,6305461,41,11,1,2,1,0,192,25,7,14,1
213,214,7552268,38,6,1,2,0,10,39,28,5,10,1
224,225,6668221,66,20,1,2,0,29,14,14,11,11,1
225,226,5109740,39,6,1,2,0,25,146,25,6,14,1
234,235,1882143,45,19,1,2,1,32,94,25,4,14,1
235,236,7167762,49,14,1,2,0,24,53,13,12,14,1
236,237,7743419,71,15,1,2,0,41,209,5,14,14,1
240,241,9305585,69,8,1,2,0,35,240,28,8,10,1
250,251,6715263,29,0,1,2,0,46,82,13,0,11,1
260,261,1632386,43,20,1,2,0,3,105,0,11,14,1
264,265,7291839,41,1,1,2,1,45,290,14,1,12,1
267,268,4187964,78,2,1,2,1,16,222,22,2,10,1
275,276,6325118,21,13,1,2,0,31,65,13,11,12,1
282,283,2955958,35,17,1,2,1,14,16,14,7,11,1
299,300,7167873,61,0,1,2,1,18,13,7,0,11,1
302,303,9127290,22,11,1,2,0,50,101,25,3,14,1
308,309,5468664,30,2,1,2,0,7,146,25,2,14,1
312,313,6787542,22,0,1,0,0,28,231,10,0,12,1
315,316,8143086,22,3,1,2,0,25,32,28,3,11,1
320,321,8573668,57,15,1,2,1,30,187,10,13,13,1
324,325,1680177,33,18,1,1,0,29,277,7,6,11,1
330,331,2429683,43,20,1,2,0,23,272,28,14,11,1
331,332,7020077,63,9,1,2,0,33,218,0,9,13,1
332,333,9815414,26,5,1,2,0,7,214,5,5,14,1
337,338,4496096,55,17,1,2,1,31,47,4,13,13,1
339,340,4445947,53,17,1,2,0,49,73,22,4,14,1
350,351,7660598,72,11,1,2,0,6,212,14,11,13,1
353,354,1576088,37,13,1,2,1,8,299,22,7,12,1
356,357,8776228,37,15,1,2,1,32,65,13,14,11,1
364,365,6785181,32,11,1,2,0,19,304,13,11,11,1
372,373,780090,55,9,1,0,0,46,104,25,9,14,1
378,379,4510338,53,17,1,2,0,6,119,11,5,10,1
395,396,321358,78,17,1,2,0,16,11,20,9,13,1
398,399,8698268,46,19,1,2,1,14,194,6,6,12,1
402,403,8927753,25,17,1,2,1,12,241,4,13,13,1
405,406,4273001,62,14,1,0,1,39,76,2,14,14,1
411,412,527900,61,9,1,2,1,20,188,25,9,10,1
413,414,7914034,23,2,1,2,0,8,106,11,2,10,1
424,425,7847940,64,16,1,2,1,14,182,14,10,11,1
426,427,6722440,47,7,1,2,0,27,226,14,7,11,1
427,428,2259654,42,2,1,2,0,33,77,11,2,10,1
433,434,9241363,62,18,1,2,1,14,264,23,5,11,1
454,455,649902,54,15,1,2,0,48,24,14,8,11,1
458,459,9215066,69,11,1,2,0,32,100,2,11,10,1
459,460,4432283,61,5,1,2,0,30,296,22,5,10,1
462,463,7124175,44,15,1,2,1,9,158,5,7,10,1
464,465,7591621,41,6,1,1,0,4,136,25,3,14,1
469,470,549476,47,1,1,2,0,22,85,14,1,10,1
470,471,5628436,48,13,1,2,0,13,75,2,10,10,1
472,473,223993,54,7,1,2,0,37,253,17,7,11,1
478,479,706809,71,3,1,2,0,31,73,22,3,13,1
484,485,4824858,58,15,1,2,0,28,283,6,8,11,1
494,495,1988524,50,6,1,2,0,46,128,20,6,13,1
497,498,1966474,26,16,1,2,1,6,314,0,4,10,1
507,508,976533,48,2,1,2,0,44,33,28,2,10,1
512,513,1578598,50,11,1,2,0,43,186,25,11,11,1
513,514,1604428,66,20,1,2,0,37,258,17,12,14,1
515,516,414060,64,16,1,0,0,23,142,0,14,11,1
522,523,8079960,53,2,1,2,0,3,237,2,2,10,1
527,528,5915580,68,20,1,2,0,28,66,2,7,10,1
537,538,2902285,77,19,1,2,0,27,105,0,11,10,1
544,545,7563306,55,15,1,2,0,48,163,12,12,12,1
545,546,9368529,59,7,1,2,0,18,86,1,7,10,1
551,552,1139981,60,12,1,2,0,10,15,22,12,12,1
554,555,340075,45,0,1,2,0,29,64,25,0,13,1
559,560,1066119,69,16,1,2,1,48,104,25,12,11,1
563,564,2940425,77,16,1,2,1,19,94,25,7,10,1
565,566,6963246,35,16,1,2,0,29,110,7,14,12,1
567,568,5965932,74,3,1,2,0,3,102,10,3,13,1
570,571,6120219,25,8,1,2,0,43,113,2,3,13,1
571,572,2926477,78,19,1,2,0,37,96,25,3,10,1
572,573,6800688,78,5,1,2,0,27,184,10,5,14,1
574,575,9756211,45,8,1,2,1,39,55,14,8,10,1
576,577,9407809,66,3,1,2,0,3,218,0,3,13,1
577,578,6002096,32,14,1,2,0,42,245,23,3,13,1
579,580,4145727,27,11,1,2,0,22,226,14,6,12,1
583,584,6201762,46,1,1,2,0,30,160,12,1,10,1
586,587,4510519,73,3,1,1,1,32,178,22,3,10,1
617,618,8755938,42,20,1,2,1,6,80,5,14,13,1
627,628,6549582,31,7,1,2,1,2,108,0,7,11,1
628,629,4916345,73,8,1,2,1,0,240,28,8,12,1
644,645,5082664,41,12,1,2,1,38,32,28,5,12,1
650,651,3711307,22,20,1,2,1,20,220,18,10,12,1
660,661,4206929,73,8,1,2,0,47,120,22,8,11,1
665,666,2024213,38,19,1,2,0,12,88,4,8,14,1
676,677,1112644,23,16,1,2,1,35,212,14,6,10,1
685,686,5421595,45,4,1,2,0,0,102,10,4,12,1
691,692,3306281,33,16,1,2,0,21,175,0,8,12,1
706,707,3423478,76,9,1,2,0,13,285,23,4,10,1
708,709,166480,36,8,1,2,1,38,314,0,8,11,1
711,712,4112102,46,15,1,2,0,8,183,11,5,13,1
719,720,5812529,46,2,1,2,1,43,296,22,2,11,1
720,721,9422148,43,16,1,2,1,13,273,13,12,12,1
723,724,6239581,38,8,1,2,1,0,290,14,8,13,1
725,726,9044259,30,16,1,2,0,25,127,13,3,11,1
729,730,5186187,76,2,1,2,0,16,266,25,2,12,1
733,734,3470076,44,15,1,2,0,32,100,2,11,12,1
736,737,960205,66,16,1,2,0,12,313,0,7,11,1
737,738,1117930,79,15,1,2,0,19,252,7,9,12,1
739,740,96503,40,13,1,2,0,25,267,8,3,14,1
744,745,7529689,76,9,1,2,0,3,242,0,4,10,1
762,763,5965136,36,15,1,2,0,43,135,10,10,12,1
773,774,6550926,35,1,1,2,0,37,257,22,1,11,1
774,775,5354560,58,13,1,2,1,28,19,6,5,13,1
780,781,5608121,52,7,1,2,0,37,127,13,7,14,1
789,790,4642438,55,13,1,2,0,19,146,25,13,14,1
796,797,8419826,31,0,1,2,0,26,240,28,0,14,1
798,799,3734522,47,1,1,2,0,46,132,2,1,10,1
802,803,2018913,68,7,1,2,1,50,82,13,7,13,1
804,805,8976828,58,10,1,2,1,28,204,22,10,14,1
815,816,8030284,65,6,1,2,0,10,101,25,6,12,1
830,831,5238806,65,3,1,2,0,38,245,23,3,12,1
845,846,6794531,68,20,1,2,0,28,308,6,14,10,1
848,849,972554,54,13,1,2,1,12,32,28,13,12,1
874,875,9211842,61,16,1,2,0,13,41,2,11,11,1
878,879,8057748,46,6,1,2,1,26,243,6,4,11,1
898,899,8371842,66,15,1,1,0,12,129,19,4,11,1
920,921,2157311,78,14,1,2,0,8,277,7,6,12,1
937,938,7198404,29,19,1,1,1,27,228,19,6,14,1
939,940,422892,59,7,1,2,1,6,262,14,7,10,1
941,942,7098273,67,10,1,2,0,7,90,0,3,12,1
946,947,9455042,33,20,1,2,0,39,62,10,10,12,1
961,962,8745080,55,18,1,2,1,31,91,22,4,13,1
977,978,9789626,21,20,1,2,0,20,137,2,4,13,1
985,986,2453112,34,6,1,2,0,34,247,25,6,14,1
996,997,9253093,54,2,1,2,1,42,75,2,2,12,1
1018,1019,1538951,73,9,1,2,1,26,223,7,9,10,1
1046,1047,1783274,34,8,1,1,0,46,57,28,7,12,1
1050,1051,7794515,51,2,1,2,0,50,146,25,2,11,1
1055,1056,3152333,61,11,1,0,1,0,53,13,7,14,1
1060,1061,4559022,63,5,1,2,1,46,302,20,5,11,1
1063,1064,1714140,27,10,1,2,1,39,121,28,10,10,1
1069,1070,6381899,68,7,1,2,1,23,27,25,4,13,1
1088,1089,2357771,59,1,1,2,1,3,166,12,1,12,1
1099,1100,2215191,76,10,1,2,0,37,313,0,10,11,1
1102,1103,8036025,23,8,1,2,0,15,267,8,4,14,1
1108,1109,9270608,79,14,1,2,0,1,145,28,4,12,1
1122,1123,5867312,43,1,1,1,0,7,170,0,1,13,1
1128,1129,6810655,30,11,1,2,0,35,89,28,10,12,1
